gmail.com 1 54
sfu.ca 2 29
asb9700-e02.csil.sfu.ca 3 15
aq3144-mac63.ucslabs.sfu.ca 4 11
d207-023-171-107.wireless.sfu.ca 5 8
asb9816-02.csil.sfu.ca 6 8
asb9700-e01.csil.sfu.ca 7 8
asb9700-e03.csil.sfu.ca 8 7
d207-023-188-106.wireless.sfu.ca 9 6
aq3144-mac73.ucslabs.sfu.ca 10 5
